URN,LANAME,LA,ESTAB,LAESTAB,SCHNAME,STREET,LOCALITY,ADDRESS3,TOWN,POSTCODE,SCHSTATUS,OPENDATE,CLOSEDATE,MINORGROUP,SCHOOLTYPE,ISPRIMARY,ISSECONDARY,ISPOST16,AGELOW,AGEHIGH,GENDER,RELCHAR,ADMPOL
105483,Manchester,352,2324,3522324,Medlock Primary School,Wadeson Road,Chorlton-on-Medlock,,Manchester,M13 9UJ,Closed,,31-12-2023,Maintained school,Community school,1,0,0,2,11,Mixed,Does not apply,Not applicable
105485,Manchester,352,2326,3522326,Baguley Hall Primary School,Ackworth Drive,Baguley,Wythenshawe,Manchester,M23 1LB,Open,,,Maintained school,Foundation school,1,0,0,3,11,Mixed,None,Not applicable
105486,Manchester,352,2327,3522327,Crumpsall Lane Primary School,Crumpsall Lane,Crumpsall,,Manchester,M8 5SR,Open,,,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Not applicable
105487,Manchester,352,3003,3523003,Chorlton CofE Primary School,Vicars Road,Chorlton-Cum-Hardy,,Manchester,M21 9JA,Open,,,Maintained school,Voluntary controlled school,1,0,0,3,11,Mixed,Church of England,Not applicable
105488,Manchester,352,3005,3523005,Holy Trinity CofE Primary School,Capstan Street,Blackley,,Manchester,M9 4DU,Open,,,Maintained school,Voluntary controlled school,1,0,0,3,11,Mixed,Church of England,Not applicable
105490,Manchester,352,3011,3523011,St Augustine's CofE Primary School,St Augustine Street,Monsall,,Manchester,M40 8PL,Open,,,Maintained school,Voluntary controlled school,1,0,0,3,11,Mixed,Church of England,Not applicable
105491,Manchester,352,3015,3523015,St Chrysostom's CofE Primary School,Lincoln Grove,Chorlton-on-Medlock,,Manchester,M13 0DX,Open,,,Maintained school,Voluntary controlled school,1,0,0,3,11,Mixed,Church of England,Not applicable
105493,Manchester,352,3022,3523022,St Margaret's CofE Primary School,Withington Road,Whalley Range,,Manchester,M16 8FQ,Open,,,Maintained school,Voluntary controlled school,1,0,0,3,11,Mixed,Church of England,Not applicable
105495,Manchester,352,3028,3523028,St Mary's CofE Junior and Infant School,Adscombe Street,Alexandra Park,Moss Side,Manchester,M16 7AQ,Open,,,Maintained school,Voluntary controlled school,1,0,0,3,11,Mixed,Church of England,Not applicable
105496,Manchester,352,3034,3523034,St Wilfrid's CofE Junior and Infant School,Mabel Street,Newton Heath,,Manchester,M40 1GB,Open,,,Maintained school,Voluntary controlled school,1,0,0,3,11,Mixed,Church of England,Not applicable
105498,Manchester,352,3039,3523039,St Paul's CofE Primary School,St Paul's Road,Withington,,Manchester,M20 4PG,Open,,,Maintained school,Voluntary controlled school,1,0,0,3,11,Mixed,Church of England,Not applicable
105500,Manchester,352,3041,3523041,St Agnes C of E Primary School,50 Hamilton Road,,,Manchester,M13 0PE,Open,,,Maintained school,Voluntary controlled school,1,0,0,3,11,Mixed,Church of England,Not applicable
105501,Manchester,352,3042,3523042,St Clement's CofE Primary School,Abbey Hey Lane,Higher Openshaw,,Manchester,M11 1LR,Open,,,Maintained school,Voluntary controlled school,1,0,0,3,11,Mixed,Church of England,Not applicable
105502,Manchester,352,3043,3523043,Armitage CofE Primary School,Rostron Avenue,Ardwick,,Manchester,M12 5NP,Open,,,Maintained school,Voluntary controlled school,1,0,0,2,11,Mixed,Church of England,Not applicable
105503,Manchester,352,3044,3523044,St Luke's CofE Primary School,Langport Avenue,Longsight,,Manchester,M12 4NG,Open,,,Maintained school,Voluntary controlled school,1,0,0,3,11,Mixed,Church of England,Not applicable
105504,Manchester,352,3045,3523045,St John's CofE Primary School,Clarence Road,Longsight,,Manchester,M13 0YE,Open,,,Maintained school,Voluntary controlled school,1,0,0,3,11,Mixed,Church of England,Not applicable
105505,Manchester,352,3301,3523301,All Saints C of E Primary School,Culcheth Lane,Newton Heath,,Manchester,M40 1LS,Open,,,Maintained school,Voluntary aided school,1,0,0,3,11,Mixed,Church of England,Not applicable
105507,Manchester,352,3310,3523310,St Andrew's CofE Primary School,Broom Avenue,Levenshulme,,Manchester,M19 2UH,Open,,,Maintained school,Voluntary aided school,1,0,0,3,11,Mixed,Church of England,Not applicable
105508,Manchester,352,3316,3523316,"St James' CofE Primary School, Birch-in-Rusholme",Cromwell Range,Birch-in-Rusholme,St James C of E Primary School,Manchester,M14 6HW,Open,,,Maintained school,Voluntary aided school,1,0,0,3,11,Mixed,Church of England,Not applicable
105509,Manchester,352,3325,3523325,St Philip's Church of England Primary School,Loxford Street,Hulme,,Manchester,M15 6BT,Open,,,Maintained school,Voluntary aided school,1,0,0,4,11,Mixed,Church of England,Not applicable
105514,Manchester,352,3402,3523402,Christ The King RC Primary School Manchester,Culcheth Lane,Newton Heath,,Manchester,M40 1LU,Open,,,Maintained school,Voluntary aided school,1,0,0,3,11,Mixed,Roman Catholic,Not applicable
105516,Manchester,352,3408,3523408,Holy Name Roman Catholic Primary School Manchester,Denmark Road,Moss Side,,Manchester,M15 6JS,Open,,,Maintained school,Voluntary aided school,1,0,0,3,11,Mixed,Roman Catholic,Not applicable
105519,Manchester,352,3415,3523415,St Aidan's Catholic Primary School,Rackhouse Road,Northern Moor,,Manchester,M23 0BW,Closed,,30-09-2024,Maintained school,Voluntary aided school,1,0,0,3,11,Mixed,Roman Catholic,Not applicable
105520,Manchester,352,3418,3523418,St Ambrose RC Primary School,Princess Road,Chorlton-Cum-Hardy,,Manchester,M21 7QA,Open,,,Maintained school,Voluntary aided school,1,0,0,3,11,Mixed,Roman Catholic,Not applicable
105521,Manchester,352,3422,3523422,St Anne's RC Primary School Crumpsall Manchester,Moss Bank,Crumpsall,,Manchester,M8 5AB,Open,,,Maintained school,Voluntary aided school,1,0,0,3,11,Mixed,Roman Catholic,Not applicable
105523,Manchester,352,3429,3523429,St Brigid's RC Primary School,Grey Mare Lane,Beswick,,Manchester,M11 3DR,Open,,,Maintained school,Voluntary aided school,1,0,0,3,11,Mixed,Roman Catholic,Not applicable
105524,Manchester,352,3432,3523432,St Catherine's RC Primary School,School Lane,Didsbury,,Manchester,M20 6HS,Open,,,Maintained school,Voluntary aided school,1,0,0,3,11,Mixed,Roman Catholic,Not applicable
105526,Manchester,352,3439,3523439,St Dunstan's RC Primary School,Bacup Street,Moston,,Manchester,M40 9HF,Closed,,31-03-2025,Maintained school,Voluntary aided school,1,0,0,3,11,Mixed,Roman Catholic,Not applicable
105527,Manchester,352,3440,3523440,St Edmund's RC Primary School,Upper Monsall Street,Miles Platting,,Manchester,M40 8NG,Closed,,31-03-2025,Maintained school,Voluntary aided school,1,0,0,3,11,Mixed,Roman Catholic,Not applicable
105529,Manchester,352,3445,3523445,St Francis RC Primary School,Ellenbrook Close,Gorton,,Manchester,M12 5LZ,Closed,,31-03-2024,Maintained school,Voluntary aided school,1,0,0,3,11,Mixed,Roman Catholic,Not applicable
105530,Manchester,352,3446,3523446,St John Bosco RC Primary School,Hall Moss Road,Blackley,,Manchester,M9 7AT,Open,,,Maintained school,Voluntary aided school,1,0,0,3,11,Mixed,Roman Catholic,Not applicable
105532,Manchester,352,3452,3523452,St Malachy's RC Primary School,Eggington Street,Collyhurst,,Manchester,M40 7RG,Open,,,Maintained school,Voluntary aided school,1,0,0,3,11,Mixed,Roman Catholic,Not applicable
105533,Manchester,352,3455,3523455,St Margaret Mary's RC Primary School Manchester,St Margaret's Road,New Moston,,Manchester,M40 0JE,Closed,,31-03-2025,Maintained school,Voluntary aided school,1,0,0,3,11,Mixed,Roman Catholic,Not applicable
105534,Manchester,352,3457,3523457,St Mary's RC Primary School Manchester,Clare Road,Levenshulme,,Manchester,M19 2QW,Open,,,Maintained school,Voluntary aided school,1,0,0,3,11,Mixed,Roman Catholic,Not applicable
105535,Manchester,352,3460,3523460,St Patrick's RC Primary School,Livesey Street,Collyhurst,,Manchester,M4 5HF,Closed,,31-03-2025,Maintained school,Voluntary aided school,1,0,0,3,11,Mixed,Roman Catholic,Not applicable
105536,Manchester,352,3464,3523464,Sacred Heart Catholic Primary School,Floatshall Road,Baguley,,Manchester,M23 1HP,Open,,,Maintained school,Voluntary aided school,1,0,0,3,11,Mixed,Roman Catholic,Not applicable
105537,Manchester,352,3465,3523465,St Peter's Catholic Primary School,Firbank Road,Newall Green,Wythenshawe,Manchester,M23 2YS,Open,,,Maintained school,Voluntary aided school,1,0,0,3,11,Mixed,Roman Catholic,Not applicable
105539,Manchester,352,3469,3523469,St Wilfrid's RC Primary School,Birchvale Close,,,Hulme,M15 5BJ,Open,,,Maintained school,Voluntary aided school,1,0,0,3,11,Mixed,Roman Catholic,Not applicable
105540,Manchester,352,3472,3523472,St Willibrord's RC Primary School,Vale Street,Clayton,,Manchester,M11 4WR,Open,,,Maintained school,Voluntary aided school,1,0,0,3,11,Mixed,Roman Catholic,Not applicable
105541,Manchester,352,3473,3523473,St Bernard's RC Primary School Manchester,Burnage Lane,,,Manchester,M19 1DR,Open,,,Maintained school,Voluntary aided school,1,0,0,3,11,Mixed,Roman Catholic,Not applicable
105543,Manchester,352,3475,3523475,Our Lady's RC Primary School Manchester,Whalley Road,Whalley Range,,Manchester,M16 8AW,Open,,,Maintained school,Voluntary aided school,1,0,0,3,11,Mixed,Roman Catholic,Not applicable
105544,Manchester,352,3482,3523482,St Richard's RC Primary School,Wilpshire Avenue,Longsight,,Manchester,M12 5TL,Open,,,Maintained school,Voluntary aided school,1,0,0,3,11,Mixed,Roman Catholic,Not applicable
105545,Manchester,352,3484,3523484,St Mary's CofE Primary School Moston,St. Mary's Road,Moston,,Manchester,M40 0DF,Open,,,Maintained school,Voluntary aided school,1,0,0,3,11,Mixed,Church of England,Not applicable
105546,Manchester,352,3489,3523489,St John's RC Primary School,Chepstow Road,Chorlton-Cum-Hardy,,Manchester,M21 9SN,Open,,,Maintained school,Voluntary aided school,1,0,0,3,11,Mixed,Roman Catholic,Not applicable
105547,Manchester,352,3490,3523490,CofE School of the Resurrection,Pilgrim Drive,Beswick,,Manchester,M11 3TJ,Open,,,Maintained school,Voluntary aided school,1,0,0,3,11,Mixed,Church of England,Not applicable
105548,Manchester,352,3491,3523491,Saviour CofE Primary School,Eggington Street,Collyhurst,,Manchester,M40 7RH,Open,,,Maintained school,Voluntary aided school,1,0,0,3,11,Mixed,Church of England,Not applicable
105550,Manchester,352,3494,3523494,St Joseph's RC Primary School Manchester,Richmond Grove,Longsight,,Manchester,M13 0BT,Open,,,Maintained school,Voluntary aided school,1,0,0,3,11,Mixed,Roman Catholic,Not applicable
105553,Manchester,352,3500,3523500,St Cuthbert's RC Primary School,Heyscroft Road,Withington,,Manchester,M20 4UZ,Open,,,Maintained school,Voluntary aided school,1,0,0,3,11,Mixed,Roman Catholic,Not applicable
105554,Manchester,352,3501,3523501,St Clare's RC Primary School,Victoria Avenue,Blackley,,Manchester,M9 0RR,Open,,,Maintained school,Voluntary aided school,1,0,0,3,11,Mixed,Roman Catholic,Not applicable
105574,Manchester,352,4753,3524753,Loreto High School Chorlton,Nell Lane,Chorlton-Cum-Hardy,,Manchester,M21 7SW,Open,,,Maintained school,Voluntary aided school,0,1,0,11,16,Mixed,Roman Catholic,Non-selective
105576,Manchester,352,4761,3524761,Our Lady's RC High School,Alworth Road,Higher Blackley,,Manchester,M9 0RP,Open,,,Maintained school,Voluntary aided school,0,1,0,11,16,Mixed,Roman Catholic,Non-selective
105581,Manchester,352,4768,3524768,The Barlow RC High School and Specialist Science College,Parrs Wood Road,East Didsbury,,Manchester,M20 6BX,Open,,,Maintained school,Voluntary aided school,0,1,0,11,16,Mixed,Roman Catholic,Non-selective
105585,Manchester,352,6001,3526001,Moor Allerton Preparatory School,131 Barlow Moor Road,West Didsbury,,Manchester,M20 2PW,Open,,,Independent school,Other independent school,1,0,0,2,11,Mixed,None,Not applicable
105588,Manchester,352,6021,3526021,Chetham's School of Music,Long Millgate,Manchester,,,M3 1SB,Open,,,Independent school,Other independent school,1,1,1,8,19,Mixed,None,Selective
105591,Manchester,352,6029,3526029,The Manchester Grammar School,Old Hall Lane,,,Manchester,M13 0XT,Open,,,Independent school,Other independent school,1,1,1,7,18,Boys,None,Selective
105592,Manchester,352,6030,3526030,Manchester High School for Girls,Grangethorpe Road,,,Manchester,M14 6HS,Open,,,Independent school,Other independent school,1,1,1,4,18,Girls,None,Selective
105594,Manchester,352,6032,3526032,St Bede's College,Alexandra Road South,Whalley Range,Manchester,,M16 8HX,Open,,,Independent school,Other independent school,1,1,1,3,19,Mixed,Roman Catholic,Selective
105595,Manchester,352,6033,3526033,Withington Girls' School,Wellington Road,Fallowfield,,Manchester,M14 6BL,Open,,,Independent school,Other independent school,1,1,1,7,19,Girls,None,Selective
105598,Manchester,352,6041,3526041,Manchester Muslim Preparatory School,141 Barlow Moor Road,,,Manchester,M20 2PQ,Open,,,Independent school,Other independent school,1,0,0,3,11,Mixed,Islam,Not applicable
105601,Manchester,352,6044,3526044,Abbey College Manchester,5-7 Cheapside,Off King Street,Manchester,,M2 4WG,Open,,,Independent school,Other independent school,0,1,1,14,23,Mixed,None,Not applicable
105606,Manchester,352,7023,3527023,Camberwell Park Specialist Support School,Brookside Road,Moston,,Manchester,M40 9GJ,Closed,,31-03-2025,Special school,Community special school,1,0,0,3,11,Mixed,Does not apply,Not applicable
105608,Manchester,352,7029,3527029,Lancasterian School,Elizabeth Slinger Road,West Didsbury,,Manchester,M20 2XA,Open,,,Special school,Community special school,1,1,0,3,16,Mixed,Does not apply,Not applicable
105613,Manchester,352,7041,3527041,The Birches School,Newholme Road,West Didsbury,,Manchester,M20 2XZ,Open,,,Special school,Community special school,1,0,0,4,11,Mixed,Does not apply,Not applicable
105614,Manchester,352,7042,3527042,Meade Hill School,Chain Road,Higher Blackley,,Manchester,M9 6GN,Closed,,31-12-2024,Special school,Community special school,0,1,0,11,16,Mixed,Does not apply,Not applicable
105616,Manchester,352,7047,3527047,Rodney House School,2 Albert Grove,Longsight,,Manchester,M12 4WF,Open,,,Special school,Community special school,1,0,0,4,11,Mixed,Does not apply,Not applicable
105623,Manchester,352,7056,3527056,Southern Cross School,Roundwood Road,Northenden,,Manchester,M22 4AB,Closed,,31-12-2024,Special school,Community special school,1,1,0,9,16,Mixed,Does not apply,Not applicable
127802,Manchester,352,7749,3527749,Ashgate Specialist Support Primary School,Crossacres Road,,Wythenshawe,Manchester,M22 5DR,Open,,,Special school,Community special school,1,0,0,3,11,Mixed,Does not apply,Not applicable
130318,Manchester,352,6040,3526040,Manchester Islamic Grammar School for Girls,141 Barlow Moor Road,,,Manchester,M20 2PQ,Open,,,Independent school,Other independent school,0,1,0,11,16,Girls,Islam,Selective
130380,Manchester,352,2328,3522328,Birchfields Primary School,Lytham Road,Fallowfield,,Manchester,M14 6PL,Open,,,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Not applicable
130503,Manchester,352,8601,3528601,Loreto College,Chichester Road,Hulme,,Manchester,M15 5PB,Open,,,College,Further education,0,0,1,16,99,Mixed,Roman Catholic,Not applicable
130504,Manchester,352,8602,3528602,Xaverian College,Lower Park Road,,,Manchester,M14 5RB,Open,,,College,Further education,0,0,1,16,99,Mixed,Roman Catholic,Not applicable
131030,Manchester,352,2330,3522330,Oswald Road Primary School,Oswald Road,Chorlton-Cum-Hardy,,Manchester,M21 9PL,Open,,,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Not applicable
131880,Manchester,352,4770,3524770,St Peter's RC High School,Kirkmanshulme Lane,,,,M12 4WB,Open,,,Maintained school,Voluntary aided school,0,1,0,11,16,Mixed,Roman Catholic,Non-selective
131884,Manchester,352,3504,3523504,St Anne's RC Primary School,Carruthers Street,Ancoats,,Manchester,M4 7EQ,Open,,,Maintained school,Voluntary aided school,1,0,0,3,11,Mixed,Roman Catholic,Not applicable
131931,Manchester,352,2008,3522008,Ringway Primary School,Rossett Avenue,Cornishway,Wythenshawe,Manchester,M22 0WW,Open,,,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Not applicable
131938,Manchester,352,2340,3522340,Button Lane Primary School,Button Lane,Northern Moor,,Manchester,M23 0ND,Open,,,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Not applicable
131979,Manchester,352,6049,3526049,Kassim Darwish Grammar School for Boys,Hartley Hall,Alexandra Road South,Chorlton-Cum-Hardy,Manchester,M16 8NH,Open,,,Independent school,Other independent school,0,1,0,11,16,Boys,Islam,Selective
132241,Manchester,352,2341,3522341,Benchill Primary School,Benchill Road,Wythenshawe,,Manchester,M22 8EJ,Open,,,Maintained school,Foundation school,1,0,0,3,11,Mixed,None,Not applicable
132905,Manchester,352,7061,3527061,North Ridge High School,Alworth Road,,Blackley,Manchester,M9 0RP,Open,,,Special school,Community special school,0,1,1,11,19,Mixed,Does not apply,Not applicable
133770,Manchester,352,2010,3522010,Ashbury Meadow Primary School,Rylance Street,Beswick,,Manchester,M11 3NA,Open,,,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Not applicable
134224,Manchester,352,6905,3526905,Manchester Academy,Moss Lane East,Moss Side,,Manchester,M14 4PX,Open,,,Academy,Academy sponsor led,0,1,0,11,16,Mixed,Christian,Non-selective
134479,Manchester,352,3505,3523505,Sacred Heart RC Primary School,Knutsford Road,Gorton,,Manchester,M18 7NJ,Open,,,Maintained school,Voluntary aided school,1,0,0,3,11,Mixed,Roman Catholic,Not applicable
135027,Manchester,352,6062,3526062,Manchester Jewish School for Special Education,Manchester Jewish Community Centre,,Bury Old Road,Manchester,M7 4QY,Open,,,Special school,Other independent special school,1,1,1,4,25,Mixed,None,Not applicable
135279,Manchester,352,3506,3523506,Park View Community Primary,Varley Street,Miles Platting,,Manchester,M40 7EJ,Closed,,30-06-2024,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Not applicable
135296,Manchester,352,6907,3526907,William Hulme's Grammar School,Spring Bridge Road,,,Manchester,M16 8PR,Open,,,Academy,Academy sponsor led,1,1,1,3,18,Mixed,Christian,Non-selective
135524,Manchester,352,8603,3528603,LTE Group,Whitworth House,Whitworth St,Openshaw,Manchester,M11 2WH,Open,,,College,Further education,0,1,1,14,99,Mixed,Does not apply,Not applicable
135648,Manchester,352,3507,3523507,The Divine Mercy Roman Catholic Primary School,20 Blue Moon Way,Rusholme,,Manchester,M14 7SH,Open,,,Maintained school,Voluntary aided school,1,0,0,3,11,Mixed,Roman Catholic,Not applicable
135874,Manchester,352,6908,3526908,Manchester Enterprise Academy,Simonsway,,,Wythenshawe,M22 9RH,Open,,,Academy,Academy sponsor led,0,1,0,11,16,Mixed,Does not apply,Non-selective
136105,Manchester,352,6913,3526913,Manchester Communication Academy,Silchester Drive,Harpurhey,,Manchester,M40 8NT,Open,,,Academy,Academy sponsor led,0,1,0,11,16,Mixed,Does not apply,Non-selective
136174,Manchester,352,6914,3526914,Co-op Academy Manchester,Plant Hill Road,Higher Blackley,,Manchester,M9 0WQ,Open,,,Academy,Academy sponsor led,0,1,0,11,16,Mixed,Does not apply,Non-selective
137309,Manchester,352,4810,3524810,The King David High School,Eaton Road,Crumpsall,,Manchester,M8 5DY,Open,,,Academy,Academy converter,0,1,1,11,18,Mixed,Jewish,Non-selective
137601,Manchester,352,3040,3523040,Cheetham CofE Community Academy,Halliwell Lane,Cheetham Hill,,Manchester,M8 9FR,Open,,,Academy,Academy converter,1,0,0,3,11,Mixed,Church of England,Not applicable
137689,Manchester,352,2005,3522005,E-ACT Blackley Academy,Victoria Avenue,Blackley,,Manchester,M9 0RD,Open,,,Academy,Academy sponsor led,1,0,0,3,11,Mixed,None,Not applicable
137801,Manchester,352,4765,3524765,Trinity CofE High School,Higher Cambridge Street,,,Manchester,M15 6HP,Open,,,Academy,Academy converter,0,1,1,11,19,Mixed,Church of England,Non-selective
137866,Manchester,352,2007,3522007,St Barnabas CofE Primary Academy,Parkhouse Street,Openshaw,,Manchester,M11 2JX,Open,,,Academy,Academy sponsor led,1,0,0,3,11,Mixed,Church of England,Not applicable
137887,Manchester,352,6006,3526006,Music Stuff,Unit 2,The Cuthbert Centre,877 Ashton Old Road,Manchester,M11 2NA,Open,,,Independent school,Other independent school,0,1,0,11,16,Mixed,None,Not applicable
138097,Manchester,352,4002,3524002,Cedar Mount Academy,Gorton Education Village,50 Wembley Road,,Gorton,M18 7DT,Open,,,Academy,Academy sponsor led,0,1,0,11,16,Mixed,None,Non-selective
138532,Manchester,352,7043,3527043,Melland High School,Gorton Education Village,,50 Wembley Road,Gorton,M18 7DT,Open,,,Special school,Academy special converter,0,1,1,11,19,Mixed,Does not apply,Not applicable
138653,Manchester,352,2040,3522040,Briscoe Lane Academy,Briscoe Lane,Newton Heath,,Manchester,M40 2TB,Open,,,Academy,Academy converter,1,0,0,3,11,Mixed,Does not apply,Not applicable
138784,Manchester,352,2012,3522012,Rushbrook Primary Academy,Shillingford Road,Gorton,,Manchester,M18 7TN,Open,,,Academy,Academy sponsor led,1,0,0,3,11,Mixed,Does not apply,Not applicable
138785,Manchester,352,2015,3522015,Stanley Grove Primary Academy,Stanley Grove,,Rushford Street,Longsight,M12 4NL,Open,,,Academy,Academy sponsor led,1,0,0,3,11,Mixed,Does not apply,Not applicable
139056,Manchester,352,2016,3522016,Oasis Academy Harpur Mount,Alfred Street,Harpurhey,,Manchester,M9 5XR,Open,,,Academy,Academy sponsor led,1,0,0,3,11,Mixed,Does not apply,Not applicable
139078,Manchester,352,2018,3522018,Seymour Road Academy,Seymour Road South,,,Manchester,M11 4PR,Open,,,Academy,Academy sponsor led,1,0,0,3,11,Mixed,Does not apply,Not applicable
139148,Manchester,352,4281,3524281,Chorlton High School,Nell Lane,Chorlton-Cum-Hardy,,Manchester,M21 7SL,Open,,,Academy,Academy converter,0,1,0,11,16,Mixed,Does not apply,Non-selective
