description,address_full,agent_name,bathrooms,bedrooms,council_tax_band,price,price_per_sqft,property_type,receptions,size_sqft,status,tenure,listing_title,lat,lon,postcode,town_city,county,address,bedrooms_int,bathrooms_int,receptions_int,price_num,price_per_sqft_num,size_sqft_num
"Popular location Cul-de-sac Well presented Multiple reception rooms Downstairs WC Five bedrooms Great rear garden Off road parking Wheelchair accessible Locate estate agent are delighted to welcome to the market this extended five-bedroom semi-detached family home on the ever-popular Lowood Avenue. Tucked away at the head of a peaceful cul-de-sac, this attractive and spacious residence offers multiple reception rooms, fitted kitchen, downstairs WC and generous living space throughout, making it the ideal choice for a growing family. To the upstairs are the five good sized bedrooms and family bathroom. Perfectly positioned close to a wealth of local amenities, excellent transport links, and highly regarded schools, the property combines convenience with comfort. Material information - Disclaimers The information supplied in this listing is sourced from various third parties. Information is also requested from the Vendor. Whilst every effort is made to verify the information Locate Estate Agents assumes no responsibility or liability for any errors or omissions in the content provided in this listed. The information contained in this site is provided on an ""as is"" basis with no guarantees of completeness, accuracy, usefulness, or timeliness. Reasonable buyers should peruse Trading Standards guidance (attached or linked) and instruct both a Conveyancer and Surveyor at the earliest opportunity. Locate Estate Agent have not tested any appliances and services described in this property description and therefore take no legal responsibility for their function. We would advise having an independent inspection of all services and appliances relating to the property. All room sizes are approximate. Property misdescriptions act Under the Property Misdescription Act 1991, we endeavour to make our sales details accurate and reliable, but they should not be relied upon as statements or representations of fact and they do not constitute any part of an offer or contract these particulars are thought to be materially correct though their accuracy is not guaranteed &amp; they do not form part of any contract. All links relating to Services which include: Council Tax banding and charges: . . Tenure: Property type: Material info pack on property advert Property construction: “Locate Estate Agents have had sight of the Property and made enquiries with the Vendor. However, no warranty is made as to this fact, and it is strongly recommended that a RICS Surveyor is instructed by a buyer to ascertain more details”. Material info pack on property advert Number and types of room: Utility suppliers: Material info pack on property advert Sewerage: Heating: Material info pack on property advert Broadband: Mobile signal coverage: Parking: Material info pack on property advert Building safety: “Locate Estate Agents is not qualified to comment on or give warranty regarding such matters and recommend that buyer’s read the guidance here and instruct an appropriate survey” Restrictions: “Locate Estate Agents is not qualified to comment on or give warranty regarding such matters and recommend that a Conveyancer is instructed at the earliest opportunity Info to be obtained from Conveyancer solicitors. Flood risk: “Locate Estate Agents is not qualified to comment on or give warranty regarding such matters and recommend that buyer’s read the guidance here [include link] and instruct any searches require via their Conveyancer at the earliest opportunity and recommend that buyer’s read the guidance here Coastal erosion risk: “Locate Estate Agents is not qualified to comment on or give warranty regarding such matters and recommend that buyer’s read the guidance here [include link] and instruct any searches require via their Conveyancer at the earliest opportunity and recommend that buyer’s read the guidance here Planning permission: See the Local Authority Planning Portal found here Accessibility /adaptations: Accessibility/adaptations Locate is not aware of any accessibility issues or adaptions relating to accessibility having been made at the Property. However, the buyer should rely on their own inspection and should undertake this at the earliest opportunity. See property description Coalfield or Mining area: “Locate Estate Agents is not qualified to comment on or give warranty regarding such matters and recommend that buyer’s read the guidance here [include link] and instruct any searches require via their Conveyancer at the earliest opportunity and recommend that buyer’s read the guidance , metres%20of%20a%20property%27s%20boundaries Energy performance : Externally, the front of the home provides off-road parking leading to a garage, which also offers internal access for added practicality. To the rear, you’ll find a good-sized, mostly lawned private garden complete with a raised patio area — perfect for outdoor entertaining or simply relaxing in the sunshine. To arrange your viewing, contact the friendly Locate team at our Urmston office today on . Read full description In partnership with Zoopla insights Sign in and gain expert analysis to make informed decisions. Stamp duty calculator Our instant calculator helps you understand how much stamp duty is due on property purchases in England &amp; Northern Ireland. Read the latest stamp duty news Price Your situation Please select Buying for the first time Home mover with one property Buying an additional property From 1st April 2025 £- This calculation is intended as a guide only. We are unable to provide financial advice, so it&#x27;s important to consult with an adviser. It applies to UK residents purchasing residential properties in England and Northern Ireland, but does not apply if the purchase is made through a company.","Lowood Avenue, Davyhulme M41",Locate,1.0,5,A,465000,,semi_detached,2.0,,Just added,freehold,"5 bed semi-detached house for sale Lowood Avenue, Davyhulme M41",53.457618303,-2.378462748,M41 8GD,Urmston,Greater Manchester,"Lowood Avenue, Urmston, M41 8GD, United Kingdom",5,1,2,465000.0,,
"Large four bedroom detached Flexible accommodation Scope to develop utility/garage into A room (subject to usual consents) Could be used as A 3 bedroom Freehold EPC C Council tax band E Approx 4 miles to manchester Close to motorway links Gardens &amp; parking Freehold | Flexible accommodation over three floors | Approx 4 miles to Manchester | Parking | Secure gardens | Spacious | Close to motorway networks | Scope to change utility and garage area into a reception room (subject to consents). EPC C. Ryder &amp; Dutton are delighted to offer for sale this spacious detached family home which offers very versatile accommodation over three floors. The current owners use the property as a four bedroom, some buyers may prefer to utilise the first floor rear bedroom as a reception room or even develop the garage/utility area into a further reception area (this of course would be subject to usual council consents). The property sits on a good sized plot with ample off-road parking to the front along with a private and secure garden to the rear. Internally featuring, lounge/sitting room, hallway, downstairs WC, large kitchen/diner, utility room and store(originally garage) to the ground floor. Stairs lead up from the hallway to a first floor landing which opens to three large double bedrooms and family bathroom whilst a further flight of stairs leads to a large bedroom and end-suite. The property sits in a popular and convenient area of Blackley with Manchester City Centre only 4 miles away, the M60 motorway network nearby along with a range of shops, schools and transport links. All mains services are available. Ground Floor Lounge (3.05m x 3m) Hallway WC (1.14m x 0.91m) Kitchen/Dining Room 5.79m (5.8m) x 3.96m (3.96m) max Utility (2.74m x 2.44m) First Floor Landing Bedroom 1 (5.79m x 3.2m) Bedroom 2 (4.27m x 3.05m) Bathroom (2.43m x 1.22m) Bedroom 4 (3.35m x 2.43m) Second Floor Bedroom 3 (5.8m x 4.06m) En-Suite (2.74m x 1.78m) Read full description In partnership with Zoopla insights Sign in and gain expert analysis to make informed decisions. Stamp duty calculator Our instant calculator helps you understand how much stamp duty is due on property purchases in England &amp; Northern Ireland. Read the latest stamp duty news Price Your situation Please select Buying for the first time Home mover with one property Buying an additional property From 1st April 2025 £- This calculation is intended as a guide only. We are unable to provide financial advice, so it&#x27;s important to consult with an adviser. It applies to UK residents purchasing residential properties in England and Northern Ireland, but does not apply if the purchase is made through a company.","Hill Lane, Blackley, Manchester M9",Ryder & Dutton - Middleton,2.0,4,E,325000,,detached,2.0,,Just added,freehold,"4 bed detached house for sale Hill Lane, Blackley, Manchester M9",53.528455,-2.214508,M9 6AW,Manchester,Salford,"Hill Lane, Manchester, M9 6AW, United Kingdom",4,2,2,325000.0,,
"Two bedroom mid terrace New Boiler Close to Bury town centre and amenities Large yard to the rear No onward chain This well-presented two-bedroom mid-terrace home offers generous living space and a highly convenient location just a short walk from schools, Bury town centre, local amenities, and excellent transport links. Step inside to find a spacious living room, a large modern kitchen featuring a comprehensive range of fitted wall and base units – perfect for both everyday living and entertaining. Upstairs, you'll find two good-sized bedrooms, including a master bedroom with built-in wardrobes, and a stylish three-piece family bathroom. Externally, the property boasts a large, low-maintenance paved patio area – ideal for outdoor dining or relaxing in the sun. Whether you're a first-time buyer, downsizer, or investor, this property ticks all the boxes. Early viewing is highly recommended! Details Tenure-Leasehold Lease TermBETA 999 years from 24 December 1885 Local Authority-Bury Council Tax Band: A Annual Price: £1,610 Conservation Area No Flood Risk Very low Mobile coverage EE- Vodafone Good Three-Average O2-Good Broadband Basic13 Mbps Superfast 80 Mbps Ultrafast 1800 Mbps Satellite / Fibre TV Availability BT-Yes Sky-Yes Virgin-Yes Read full description In partnership with Zoopla insights Sign in and gain expert analysis to make informed decisions. Stamp duty calculator Our instant calculator helps you understand how much stamp duty is due on property purchases in England &amp; Northern Ireland. Read the latest stamp duty news Price Your situation Please select Buying for the first time Home mover with one property Buying an additional property From 1st April 2025 £- This calculation is intended as a guide only. We are unable to provide financial advice, so it&#x27;s important to consult with an adviser. It applies to UK residents purchasing residential properties in England and Northern Ireland, but does not apply if the purchase is made through a company.","Nelson Street, Bury, Greater Manchester BL9",Miller Metcalfe - Bury,1.0,2,A,150000,,terraced,1.0,,Just added,leasehold,"2 bed terraced house for sale Nelson Street, Bury, Greater Manchester BL9",53.58302946658437,-2.2937289459370107,BL9 9HX,Radcliffe,Greater Manchester,"Nelson Street, Radcliffe, BL9 9HX, United Kingdom",2,1,1,150000.0,,
"Spacious Two Bedroom Apartment Ground Floor Position Outside Space off Living Room Bathroom + En Suite Shower Room No Onward Chain Prime Castlefield Location Short Walk from Deansgate &amp; Transport Links Separate Kitchen with Integrated Appliances Excellent Investment Opportunity Low Rise Development - Suitable for Mortgage Buyers ** prime city centre location next to deansgate ** This spacious two bedroom apartment forms part of a low rise purpose built development nestled behind Deansgate on a cobbled street within the historic Castlefield region of the city. The property occupies a ground floor position and is a stones throw from Deansgate -Castlefield Metrolink stop. It would be a superb investment opportunity and an excellent first time buyer opportunity. The well presented accommodation briefly comprises; entrance hallway with large storage cupboard, impressive living room with access to outside space, separate kitchen with appliances, two generously sized bedrooms (master with en suite shower room) and a three piece bathroom suite. No onward chain. EPC Rating: Tbc Lease: 999 yeas from 2004 Ground Rent: £150 P.A. Service Charge: £1,815.00 P.A. Management Company: Stevenson Whyte Read full description In partnership with Zoopla insights Sign in and gain expert analysis to make informed decisions. Stamp duty calculator Our instant calculator helps you understand how much stamp duty is due on property purchases in England &amp; Northern Ireland. Read the latest stamp duty news Price Your situation Please select Buying for the first time Home mover with one property Buying an additional property From 1st April 2025 £- This calculation is intended as a guide only. We are unable to provide financial advice, so it&#x27;s important to consult with an adviser. It applies to UK residents purchasing residential properties in England and Northern Ireland, but does not apply if the purchase is made through a company.","3 Barton Street, Manchester M3",Kaytons Estate Agents - Manchester,2.0,2,A,190000,,flat,1.0,,Just added,leasehold,"2 bed flat for sale 3 Barton Street, Manchester M3",53.4756505,-2.2523342,M3 4NN,Manchester,Greater Manchester,"3 Barton Street, Manchester, M3 4NN, United Kingdom",2,2,1,190000.0,,
"Stunning Two Double Bedroom Terraced Property Coming To The Market chain free! Spacious Lounge and Dining Room Modern Fitted Kitchen and a Four-Piece Bathroom Ideal First Time Home! Low-Maintenance Courtyard Garden to the Front and a Spacious Garden to the Rear with Paving and Decking Within Walking Distance of Eccles Town Centre, with a Variety of Amenities, Including Pubs, Shops and Restaurants Close to Transport Links Throughout Manchester, Including Salford Quays, Media City and Manchester City Centre Close to Local Schooling, Transport Links and Within Easy Access of the Trafford Centre Early Viewing is Essential! Take a look at this stunning two double bedroom terraced property, that benefits from gardens to the front and rear, two spacious reception rooms and a modern fitted kitchen and is coming to the market chain free! As you enter the property you go into a spacious dining area, which flows through to the separate lounge and the modern fitted kitchen to the ground floor. To the first floor, there are two double bedrooms and a modern four-piece family bathroom. Externally, to the front there is a low-maintenance courtyard garden, whilst to the rear there is a spacious garden with paved and decked areas. The property is located within easy access of transport links into Eccles town centre, which is host to a variety of amenities – including pubs, shops and restaurants – along with access to the Metrolink, which provides direct access into Salford Quays, Media City and Manchester City Centre. The property is also within easy access of local schooling, parks and the Trafford centre, making it a great first time home! Viewing is highly recommended, get in touch to secure your viewing today! EPC Rating: D Lounge (3.73m x 3.40m) Dining Room (4.72m x 3.73m) Kitchen (4.59m x 2.23m) Bedroom One (3.73m x 3.43m) Bedroom Two (3.73m x 2.77m) Bathroom (2.92m x 2.06m) Read full description In partnership with Zoopla insights Sign in and gain expert analysis to make informed decisions. Stamp duty calculator Our instant calculator helps you understand how much stamp duty is due on property purchases in England &amp; Northern Ireland. Read the latest stamp duty news Price Your situation Please select Buying for the first time Home mover with one property Buying an additional property From 1st April 2025 £- This calculation is intended as a guide only. We are unable to provide financial advice, so it&#x27;s important to consult with an adviser. It applies to UK residents purchasing residential properties in England and Northern Ireland, but does not apply if the purchase is made through a company.","Woodfield Grove, Eccles M30",Hills,1.0,2,A,200000,,terraced,2.0,,Just added,leasehold,"2 bed terraced house for sale Woodfield Grove, Eccles M30",53.20708,-2.86186,CH2 3NY,Chester,Cheshire West and Chester,"Woodfield Grove, Chester, CH2 3NY, United Kingdom",2,1,2,200000.0,,
"***viewings are currently suspended on this property*** Spacious lounge Second reception / dining room Fitted kitchen Sunroom to the rear Two double bedrooms &amp; A study area Family shower room Garden to the rear Prime location / no onward chain Ideal first time buy/investment opportunity Tenure: Leasehold ***viewings currently on hold*** Due to the amount of interest on this property, the seller has asked us to suspend viewings for the time beaing. Located in a prime position, this sought-after two bedroom, mid terraced house presents a fantastic opportunity for both first time buyers &amp; investors. Boasting a spacious, light &amp; airy lounge, complemented by a second reception/dining room, this property offers a versatile living space ideal for relaxation or entertaining. The fitted kitchen has ample storage space and is ideal for preparing family meals. Additionally, the sunroom to the rear offers plenty of natural light, creating a bright and inviting area. Upstairs, two double bedrooms, along with a study area, provide ample upper floor living space. The family shower room adds convenience to the upstairs. Situated within walking distance to the guided busway, popular bars, eateries, and local amenities, this property offers a lifestyle of ease and accessibility. With a garden to the rear and no onward chain, this property offers a seamless blend of comfort and convenience in a desirable location. Entry (0.90m x 0.89m) Living Room 1 (3.19m x 4.32m) Living Room 2 (3.41m x 4.26m) Kitchen (2.18m x 4.03m) Sunroom (2.22m x 1.93m) Hallway (0.92m x 4.27m) Bedroom (4.28m x 4.30m) Bedroom Two (2.45m x 4.25m) Landing (1.35m x 4.29m) Study (2.16m x 2.04m) Bathroom (2.15m x 1.94m) Yard Courtyard to the rear Garden Garden fronted Parking - On Street Read full description In partnership with Zoopla insights Sign in and gain expert analysis to make informed decisions. Stamp duty calculator Our instant calculator helps you understand how much stamp duty is due on property purchases in England &amp; Northern Ireland. Read the latest stamp duty news Price Your situation Please select Buying for the first time Home mover with one property Buying an additional property From 1st April 2025 £- This calculation is intended as a guide only. We are unable to provide financial advice, so it&#x27;s important to consult with an adviser. It applies to UK residents purchasing residential properties in England and Northern Ireland, but does not apply if the purchase is made through a company.","Primrose Street South, Tyldesley M29",Smoothmove Property,1.0,2,A,100000,106.0,terraced,2.0,947.0,Just added,leasehold,"2 bed terraced house for sale Primrose Street South, Tyldesley M29",53.51363,-2.46483,M29 8HW,Astley,Salford,"Primrose Street South, Astley, M29 8HW, United Kingdom",2,1,2,100000.0,106.0,947.0
"Semi-Detached House Three Generous Bedrooms Two Reception Rooms Fitted Kitchen Three-Piece Bathroom Excellent Attic Storage Driveway To Front &amp; Side Garage To Rear Lawn Garden At The Rear Countryside Views Situated on a highly sought-after development on the doorstep of Norden village, this semi-detached family home gives easy access to amenities including cafes, pubs, bars and restaurants whilst also within easy reach of some excellent local primary schools. Conveniently situated close to a bus route for easy access into Rochdale and Bury town centres whilst also only a short drive from the motorway network. Internally, the property is well laid out and offers ideal family living accommodation comprising of an entrance porch &amp; hall, two reception rooms, a fitted kitchen, three bedrooms and a three-piece bathroom. There is also excellent attic storage with a Velux window. The property also benefits from having gas central heating and upvc double glazing throughout. The property boasts a driveway to front &amp; side that leads to a detached garage located at the rear of the home providing excellent storage. Also to the rear, there is a spacious lawn garden with flower bed borders and a patio. The property is freehold! Ground Floor Entrance Porch (3' 3'' x 6' 6'' (1m x 1.97m)) Hall (11' 6'' x 6' 6'' (3.51m x 1.97m)) Stairs to the first floor with a storage cupboard underneath Lounge (15' 7'' x 11' 6'' (4.74m x 3.51m)) Spacious room with an open arch into the dining room Dining Room (10' 6'' x 8' 10'' (3.2m x 2.69m)) Patio doors leading to outside Kitchen (11' 6'' x 8' 10'' (3.51m x 2.69m)) Fitted with a range of units, sink unit and a door to outside First Floor Landing (6' 3'' x 5' 8'' (1.9m x 1.72m)) Loft access via a ladder Bedroom One (11' 6'' x 11' 6'' (3.51m x 3.5m)) Double room with fitted wardrobes Bedroom Two (13' 5'' x 8' 10'' (4.09m x 2.69m)) Double room with fitted wardrobes Bedroom Three (10' 6'' x 8' 3'' (3.21m x 2.51m)) Larger than average single room Bathroom (8' 7'' x 5' 7'' (2.62m x 1.69m)) Three-piece suite comprising of a low level wc, wash hand basin and bath with overhead shower Heating The property benefits from having gas central heating and upvc double glazing throughout External The property boasts a driveway to front &amp; side that leads to a detached garage located at the rear of the home providing excellent storage. Also to the rear, there is a spacious lawn garden with flower bed borders and a patio Additional Information Tenure - Freehold EPC Rating - awaiting assessment Council Tax Band - C Read full description In partnership with Zoopla insights Sign in and gain expert analysis to make informed decisions. Stamp duty calculator Our instant calculator helps you understand how much stamp duty is due on property purchases in England &amp; Northern Ireland. Read the latest stamp duty news Price Your situation Please select Buying for the first time Home mover with one property Buying an additional property From 1st April 2025 £- This calculation is intended as a guide only. We are unable to provide financial advice, so it&#x27;s important to consult with an adviser. It applies to UK residents purchasing residential properties in England and Northern Ireland, but does not apply if the purchase is made through a company.","Seven Acres Lane, Norden, Rochdale OL12",Reside,1.0,3,C,279995,,semi_detached,2.0,,Just added,freehold,"3 bed semi-detached house for sale Seven Acres Lane, Norden, Rochdale OL12",53.62870875790652,-2.2091742100712266,O L12,Rochdale,Greater Manchester,"Seven Acres Lane, Rochdale, O L12, United Kingdom",3,1,2,279995.0,,
"Immaculate family home Extended to the side &amp; rear 4 bedrooms 2 reception rooms Modern kitchen with integrated appliances 2 modern bathrooms Beautiful private garden Garage &amp; off road parking Popular residential area * immaculate family home* extended to the side &amp; rear &amp; ideally positioned on a cul-de-sac in a popular residential location. This fantastic family home features 3 generous bedrooms and a modern family bathroom to the first floor, whilst the spacious ground floor comprises of an entrance hallway, 2 reception rooms and stunning modern kitchen &amp; dining area, an a downstairs modern bathroom &amp; a double bedroom with french doors to the garden. UPVC double glazed &amp; gas central heated, the property boasts a beautiful private garden with seating areas &amp; planted borders, along with a garage and a driveway to the front providing off-road parking for multiple cars. Conveniently situated close to many local amenities &amp; excellent transport links, could this be the perfect home for your family? Call us now to book A viewing! EPC Rating: D Hall (1.8m x 1.0m) Lounge (4.6m x 4.4m) Dining Room (4.6m x 2.6m) Kitchen (5.4m x 3.5m) Bedroom One (5.5m x 3.7m) Bathroom (3.1m x 1.9m) Landing (2.6m x 2.0m) Bedroom Two (4.5m x 2.6m) Bedroom Three (2.7m x 2.6m) Bedroom Four (2.7m x 2.0m) Shower Room (1.8m x 1.6m) Garden Mature garden to the rear of the house. Read full description In partnership with Zoopla insights Sign in and gain expert analysis to make informed decisions. Stamp duty calculator Our instant calculator helps you understand how much stamp duty is due on property purchases in England &amp; Northern Ireland. Read the latest stamp duty news Price Your situation Please select Buying for the first time Home mover with one property Buying an additional property From 1st April 2025 £- This calculation is intended as a guide only. We are unable to provide financial advice, so it&#x27;s important to consult with an adviser. It applies to UK residents purchasing residential properties in England and Northern Ireland, but does not apply if the purchase is made through a company.","Isis Close, Salford M7",Hills,2.0,4,B,350000,,semi_detached,2.0,,Just added,freehold,"4 bed semi-detached house for sale Isis Close, Salford M7",53.510464,-2.287873,M7 3AQ,Salford,Salford,"Isis Close, Salford, M7 3AQ, United Kingdom",4,2,2,350000.0,,
"Chain free Detached modern family home 4 generous bedrooms Spacious lounge + conservatory Stunning modern kitchen &amp; dining room + utility room Modern bathroom, en-suite, and downstairs W.C Beautifully presented garden with artificial lawn, planted borders, and decked seating area Detached garage (currently used as A studio), and driveway for 2 cars Desirable agecroft hall location Close to many local amenities &amp; excellent transport links * chain free * stunning modern family home * Ideally located on the desirable agecroft hall development, this fabulous modern detached home features 4 generous bedrooms, a family bathroom, and en-suite to the first floor, whilst the spacious ground floor comprises of an entrance hallway, W.C, lounge, conservatory, and a stunning modern kitchen &amp; dining room, and separate utility space. UPVC double glazed &amp; gas central heated, the property also benefits from a well presented rear garden with artificial lawn, planted borders, and decked seating area as well as a detached garage (currently used as a studio) and driveway providing off-road parking for 2 cars. Situated close to many local amenities &amp; excellent transport links, could this be the perfect home for your family? Call us now to book A viewing! EPC Rating: C Hallway (3.7m x 2.0m) WC (1.6m x 1.0m) Kitchen/Dining Room (6.0m x 3.6m) Living Room (6.0m x 3.4m) Conservatory (3.8m x 2.7m) Utility Room (1.9m x 1.8m) Landing (3.8m x 3.0m) Bedroom 1 (3.6m x 3.5m) En-Suite (2.2m x 1.5m) Bedroom 2 (3.6m x 3.0m) Bedroom 3 (3.0m x 2.8m) Bedroom 4 (3.2m x 2.4m) Bathroom (2.6m x 2.0m) Garden Garden with artificial lawn, planted borders, stone paved and decked seating areas, detached garage (currently used as a studio) and driveway for multiple cars. Parking - Off Street Detached garage (currently used as a studio) and driveway for multiple cars. Read full description In partnership with Zoopla insights Sign in and gain expert analysis to make informed decisions. Stamp duty calculator Our instant calculator helps you understand how much stamp duty is due on property purchases in England &amp; Northern Ireland. Read the latest stamp duty news Price Your situation Please select Buying for the first time Home mover with one property Buying an additional property From 1st April 2025 £- This calculation is intended as a guide only. We are unable to provide financial advice, so it&#x27;s important to consult with an adviser. It applies to UK residents purchasing residential properties in England and Northern Ireland, but does not apply if the purchase is made through a company.","Bolbury Crescent, Swinton M27",Hills,2.0,4,E,425000,362.0,detached,2.0,1173.0,Just added,freehold,"4 bed detached house for sale Bolbury Crescent, Swinton M27",53.51255655638226,-2.306382148217648,M27 8AJ,Salford,Greater Manchester,"Bolbury Crescent, Salford, M27 8AJ, United Kingdom",4,2,2,425000.0,362.0,1173.0
"Traditional mid terraced freehold property Very well located for bury centre Two double bedrooms Two reception rooms Improvements required but great potential Combination heating &amp; UPVC double glazing Recent bathroom with shower Well stocked garden areas to front &amp; rear No onward chain A traditional garden fronted freehold property situated in a cul-de-sac location just off Manchester Road in Bury only a short walk to the town centre and all amenities and the Metrolink station. The property has been in the same ownership for the last six decades and of course in that time certain upgrades have been carried out to include combination gas central heating, upvc double glazing and a recently installed bathroom suite. It is prudent to suggest that a new owner will want to carry out further modernisation works to bring the property up to current day standards, however the property provides excellent potential for a new buyer to personalise the accommodation to their own tastes. Briefly the accommodation comprises: Entrance vestibule, inner hall, lounge with living flame fire, sitting room again with living flame fire, kitchen, first floor landing two double bedrooms and a recently installed bathroom with shower. To the outside there are well stocked garden areas to the front and rear. Tenure - Freehold EPC Rating - tbc Council Tax Banding - A Entrance Vestibule Via upvc door, leading to... Inner Hall With access to ground floor reception rooms and with stairs to first floor. Lounge Feature fireplace housing a living flame coal effect fire with marble hearth. Upvc double glazed window to the front. Sitting Room Again with a feature fireplace housing a living flame coal effect fire. Upvc double glazed patio doors to the rear with access onto the rear patio yard. Understairs storage. Kitchen With a range of wall &amp; base units and built in sink unit. Upvc double glazed window and access onto the rear yard. First Floor Landing With spindled balustrade. Main Bedroom Upvc double glazed window to the front. Built in storage. Bedroom Two Double room with upvc double glazed window to the rear. Bathroom Recently installed three piece suite in white comprising: A low flush w.c., wash hand basin and panelled bath with electric shower over. Tiled walls and combination gas central heating boiler in cupboard. Upvc double glazed window to the rear. Outside The property has well stocked garden areas to the front and rear. The rear patio garden also benefits from a garden shed. Read full description In partnership with Zoopla insights Sign in and gain expert analysis to make informed decisions. Stamp duty calculator Our instant calculator helps you understand how much stamp duty is due on property purchases in England &amp; Northern Ireland. Read the latest stamp duty news Price Your situation Please select Buying for the first time Home mover with one property Buying an additional property From 1st April 2025 £- This calculation is intended as a guide only. We are unable to provide financial advice, so it&#x27;s important to consult with an adviser. It applies to UK residents purchasing residential properties in England and Northern Ireland, but does not apply if the purchase is made through a company.","Houghton Street, Bury BL9",Pearson Ferrier,1.0,2,A,160000,,terraced,2.0,,Just added,freehold,"2 bed terraced house for sale Houghton Street, Bury BL9",53.588386,-2.302122,BL9 0TA,Bury,Salford,"Houghton Street, Bury, BL9 0TA, United Kingdom",2,1,2,160000.0,,
"Modern Three Storey Townhouse Three Bedrooms Lounge and Dining Kitchen Allocated Parking Facilities Rear Garden Close to the Many Amenities of Standish Village Situated in the most convenient of positions, this modern three storey townhouse would make a smart first purchase for anyone looking to take their first leap onto the housing ladder, or perhaps those looking for buy-to-let investment. The property is located just a short stroll from the centre of the bustling village centre of Standish, with its host of local shops and amenities, and three supermarkets, whilst excellent transport links to Wigan town centre are close at hand when one is craving something more vibrant, with its diverse range of high street stores, trendy bars and eclectic eateries, which will be perfect for those who enjoy a hectic social calendar. The property enjoys 1100 sq. Feet of accommodation comprising a hallway with a cloakroom/WC off, staircase leading up to the first floor and a handy understairs storage cupboard. The dining kitchen is situated to the front of the property and is fitted with a range of wall and base units in cream with contrasting laminated work surfaces, whilst being equipped with an integrated electric oven, gas hob with extractor hood over. The attractive lounge can be found at the rear, with double doors leading directly into the rear garden. Moving upstairs there are two good-sized bedrooms to the first floor and also a family bathroom consisting of a three-piece suite in white including a panelled bath, wash hand basin and W.C. The second floor is dedicated to the master bedroom suite which features an en suite shower room and useful storage area. Further highlights include uPVC double glazing, gas central heating and allocated parking facilities. Viewing is highly recommended. Read full description In partnership with Zoopla insights Sign in and gain expert analysis to make informed decisions. Stamp duty calculator Our instant calculator helps you understand how much stamp duty is due on property purchases in England &amp; Northern Ireland. Read the latest stamp duty news Price Your situation Please select Buying for the first time Home mover with one property Buying an additional property From 1st April 2025 £- This calculation is intended as a guide only. We are unable to provide financial advice, so it&#x27;s important to consult with an adviser. It applies to UK residents purchasing residential properties in England and Northern Ireland, but does not apply if the purchase is made through a company.","Hedgerow Gardens, Standish, Wigan WN6",Tracy Phillips Estates,2.0,3,C,210000,,town_house,1.0,,Just added,freehold,"3 bed town house for sale Hedgerow Gardens, Standish, Wigan WN6",53.588987,-2.666174,WN6 0LD,Wigan,Salford,"Hedgerow Gardens, Wigan, WN6 0LD, United Kingdom",3,2,1,210000.0,,
"Well presented semi detached house Two bedrooms New bathroom Fitted kitchen Spacious lounge with media wall Gas central heating and UPVC double glazing Good size lawn garden Quiet cul de sac location A very well presented modern semi detached house located towards the end of A quiet cul de sac. On the ground floor, the property offers an entrance porch, a spacious lounge with a media wall, a fitted kitchen and dining room. On the first floor there are two bedrooms and a new family bathroom. The house has gas central heating and windows are UPVC double glazed. Externally, there are well maintained lawn gardens to the rear and front. There is also a driveway to the front of the house, suitable for parking two cars. Situated in a nice quiet area, this lovely property is conveniently located for Swinton’s schools, shops and transport links. Could this be the one for you? Call to book A viewing. EPC Rating: D Lounge (4.6m x 3.6m) Kitchen (3.6m x 2.4m) Bedroom One (3.6m x 2.4m) Bedroom Two (3.6m x 1.9m) Shower Room (2.5m x 1.5m) Garden Well maintained lawn gardens to the rear and front of the house. Read full description In partnership with Zoopla insights Sign in and gain expert analysis to make informed decisions. Stamp duty calculator Our instant calculator helps you understand how much stamp duty is due on property purchases in England &amp; Northern Ireland. Read the latest stamp duty news Price Your situation Please select Buying for the first time Home mover with one property Buying an additional property From 1st April 2025 £- This calculation is intended as a guide only. We are unable to provide financial advice, so it&#x27;s important to consult with an adviser. It applies to UK residents purchasing residential properties in England and Northern Ireland, but does not apply if the purchase is made through a company.","Hinchley Way, Swinton M27",Hills,1.0,2,B,210000,375.0,semi_detached,1.0,560.0,Just added,freehold,"2 bed semi-detached house for sale Hinchley Way, Swinton M27",53.52081,-2.33896,M27 6HB,Salford,Salford,"Hinchley Way, Salford, M27 6HB, United Kingdom",2,1,1,210000.0,375.0,560.0
